director,href,director_birthYr,director_cn
John Crowley,https://www.imdb.com//name/nm1259871/,1969-8-19,"Cork, Ireland"
Abderrahmane Sissako,https://www.imdb.com//name/nm0803066/,1961-10-13,"Kiffa, Mauritania"
Werner Herzog,https://www.imdb.com//name/nm0001348/,1942-9-5,"Munich, Bavaria, Germany"
François Ozon,https://www.imdb.com//name/nm0654830/,1967-11-15,"Paris, France"
Hou Hsiao-hsien,https://www.imdb.com//name/nm0396284/,1947-4-8,"Meixian, Guangdong, China"
Shane Meadows,https://www.imdb.com//name/nm0276349/,1972-12-26,"Uttoxeter, Staffordshire, England, UK"
Jafar Panahi,https://www.imdb.com//name/nm0070159/,1960-7-11,"Mianeh, Azarbaijan Province, Iran"
Brad Bird,https://www.imdb.com//name/nm0083348/,1957-9-24,"Kalispell, Montana, USA"
David O. Russell,https://www.imdb.com//name/nm0751102/,1958-8-20,"Manhattan, New York City, New York, USA"
Steven Soderbergh,https://www.imdb.com//name/nm0001752/,1963-1-14,"Atlanta, Georgia, USA"
Robert Greene,https://www.imdb.com//name/nm1914992/,1976-5-25,"Charlotte, North Carolina, USA"
Fabián Bielinsky,https://www.imdb.com//name/nm0081433/,1959-2-3,"Buenos Aires, Argentina"
Sean Baker,https://www.imdb.com//name/nm0048918/,1971-0-0,"New York City, New York, USA"
Andrew Adamson,https://www.imdb.com//name/nm0011470/,1966-12-1,"Auckland, New Zealand"
Shane Black,https://www.imdb.com//name/nm0000948/,1961-12-16,"Pittsburgh, Pennsylvania, USA"
Spike Lee,https://www.imdb.com//name/nm0000490/,1957-3-20,"Atlanta, Georgia, USA"
Christopher Guest,https://www.imdb.com//name/nm0001302/,1948-2-5,"New York City, New York, USA"
Quentin Tarantino,https://www.imdb.com//name/nm0000233/,1963-3-27,"Knoxville, Tennessee, USA"
Annemarie Jacir,https://www.imdb.com//name/nm1486975/,1974-1-17,"Bethlehem, Palestine"
Luc Dardenne,https://www.imdb.com//name/nm0201095/,1954-3-10,"Awirs, Wallonia, Belgium"
Michael Haneke,https://www.imdb.com//name/nm0359734/,1942-3-23,"Munich, Bavaria, Germany"
Ronit Elkabetz,https://www.imdb.com//name/nm0253813/,1964-11-27,"Beersheba, Israel"
George Clooney,https://www.imdb.com//name/nm0000123/,1961-5-6,"Lexington, Kentucky, USA"
Yervant Gianikian,https://www.imdb.com//name/nm0316214/,1942-0-0,"Meran, Tyrol, Austria-Hungary [now Merano, Alto Adige, Italy]"
Raoul Peck,https://www.imdb.com//name/nm0669704/,1953-0-0,"Port-au-Prince, Haiti"
John Akomfrah,https://www.imdb.com//name/nm0015497/,1957-0-0,"London, England, UK"
Kim Jee-woon,https://www.imdb.com//name/nm0453518/,1964-5-27,"Seoul, South Korea"
Baz Luhrmann,https://www.imdb.com//name/nm0525303/,1962-9-17,"New South Wales, Australia"
Martin Campbell,https://www.imdb.com//name/nm0132709/,1943-10-24,"Hastings, New Zealand"
Naji Abou Nowar,https://www.imdb.com//name/nm3578681/,1981-0-0,"Oxford, Oxfordshire, England, UK"
Gaspar Noé,https://www.imdb.com//name/nm0637615/,1963-12-27,"Buenos Aires, Argentina"
Alexander Payne,https://www.imdb.com//name/nm0668247/,1961-2-10,"Omaha, Nebraska, USA"
Bouli Lanners,https://www.imdb.com//name/nm0099521/,1965-5-20,"Moresnet-Chapelle, Belgium"
Miguel Arteta,https://www.imdb.com//name/nm0037708/,1965-0-0,"San Juan, Puerto Rico"
Eran Kolirin,https://www.imdb.com//name/nm0464115/,1973-11-4,"Holon, Israel"
Travis Wilkerson,https://www.imdb.com//name/nm1288933/,1969-0-0,"Denver, Colorado, USA"
Sam Mendes,https://www.imdb.com//name/nm0005222/,1965-8-1,"Reading, Berkshire, England, UK"
Tom Ford,https://www.imdb.com//name/nm1053530/,1961-8-27,"Austin, Texas, USA"
Gareth Edwards,https://www.imdb.com//name/nm2284484/,1975-6-1,"Nuneaton, Warwickshire, England, UK"
Mary Harron,https://www.imdb.com//name/nm0366004/,1953-1-12,"Bracebridge, Ontario, Canada"
Park Chan-wook,https://www.imdb.com//name/nm0661791/,1963-8-23,"Seoul, South Korea"
Michael Moore,https://www.imdb.com//name/nm0601619/,1954-4-23,"Flint, Michigan, USA"
Philippe Grandrieux,https://www.imdb.com//name/nm0334930/,1954-0-0,"Saint-Étienne, Loire, Rhône-Alpes, France"
Sofia Coppola,https://www.imdb.com//name/nm0001068/,1971-5-14,"New York City, New York, USA"
Nina Paley,https://www.imdb.com//name/nm1315434/,1968-5-3,"Champaign, Illinois, USA"
Rob Marshall,https://www.imdb.com//name/nm0551128/,1960-10-17,"Madison, Wisconsin, USA"
Christopher Nolan,https://www.imdb.com//name/nm0634240/,1970-7-30,"London, England, UK"
